name,date_detected,common_name,pole_position
Z2A,2020-10-10T07:42:03Z,Woodland Caribou,F
Z2A,2020-10-10T07:42:01Z,Woodland Caribou,F
Z2A,2020-10-10T08:07:36Z,Woodland Caribou,F
Z2A,2020-10-10T08:07:37Z,Woodland Caribou,F
Z2A,2020-10-10T08:07:41Z,Woodland Caribou,F
Z2A,2020-10-10T08:07:39Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:47Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:48Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:30Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:46Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:29Z,Woodland Caribou,F
Z2A,2020-10-10T09:18:27Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:13Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:44Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:12Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:06Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:09Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:07Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:16Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:03Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:04Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:15Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:20Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:23Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:13Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:17Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:21Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:33Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:28Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:32Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:30Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:25Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:26Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:56Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:01Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:59Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:53Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:00Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:58Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:48Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:50Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:47Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:51Z,Woodland Caribou,F
Z2A,2020-10-10T12:41:46Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:36Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:33Z,Woodland Caribou,F
