project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,474-SE,2015-07-19T12:51:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,474-SW,2015-07-19T12:17:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,474-SW,2015-02-22T10:34:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,512-NE,2015-07-08T14:56:56Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,512-NE,2015-02-19T11:18:34Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,512-NW,2015-07-08T14:10:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,512-NW,2015-02-19T09:59:51Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,512-SE,2015-02-19T12:31:37Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,512-SE,2015-07-08T13:00:04Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,512-SW,2015-07-08T13:33:56Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,512-SW,2015-02-19T13:24:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,514-NE,2015-07-09T14:12:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,514-NE,2015-02-19T16:43:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,514-NW,2015-02-19T15:27:14Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,514-NW,2015-07-09T14:44:16Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,514-SE,2015-02-19T17:25:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,514-SE,2015-07-09T13:36:19Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,514-SW,2015-02-19T14:14:28Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,514-SW,2015-07-09T15:35:11Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,543-NE,2015-06-11T12:01:01Z,END - Last Good Image in FOV
